Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
17,Sat,2019-11-23,16:00 (09:00),Rayo Vallecano,0–1,Zaragoza,9874,Estadio del Rayo Vallecano,Oliver De La Fuente,Match Report,
17,Sat,2019-11-23,18:00 (11:00),La Coruña,0–0,Alcorcón,13832,Estadio Municipal de Riazor,Juan Pulido,Match Report,
17,Sat,2019-11-23,18:00 (11:00),Santander,3–0,Extremadura,9874,Campos de Sport de El Sardinero,Luis Milla,Match Report,
17,Sat,2019-11-23,20:00 (13:00),Huesca,2–0,Ponferradina,5793,Estadio El Alcoraz,Iosu Galech,Match Report,
17,Sun,2019-11-24,12:00 (05:00),Almería,2–0,Numancia,9538,Estadio de los Juegos Mediterráneos,Isidro Díaz de Mera,Match Report,
17,Sun,2019-11-24,16:00 (09:00),Albacete,1–2,CD Mirandés,7896,Estadio Carlos Belmonte,Daniel Trujillo,Match Report,
17,Sun,2019-11-24,16:00 (09:00),Málaga,3–3,Elche,13691,Estadio La Rosaleda,Álvaro Moreno,Match Report,
17,Sun,2019-11-24,17:00 (11:00),Las Palmas,3–1,Oviedo,12020,Estadio de Gran Canaria,Jon González,Match Report,
17,Sun,2019-11-24,18:00 (11:00),Girona,2–0,Fuenlabrada,8243,Estadi Municipal de Montilivi,Daniel Ocón,Match Report,
17,Sun,2019-11-24,21:00 (14:00),Cádiz,2–1,Lugo,15444,Estadio Ramón de Carranza,Víctor Areces,Match Report,
,,,,,,,,,,,
18,Fri,2019-11-29,21:00 (14:00),Numancia,0–0,Málaga,2962,Nuevo Estadio Los Pajaritos,Dámaso Arcediano,Match Report,
18,Sat,2019-11-30,16:00 (09:00),CD Mirandés,0–0,Sporting Gijón,3681,Estadio Municipal de Anduva,Luis Milla,Match Report,
18,Sat,2019-11-30,16:00 (09:00),Alcorcón,0–2,Huesca,2402,Estadio Santo Domingo,Rubén Ávalos,Match Report,
