Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sat,2019-12-21,13:00 (06:00),Erzgebirge Aue,3–1,Greuther Fürth,13200,Sparkassen-Erzgebirgsstadion,Martin Thomsen,Match Report,
18,Sat,2019-12-21,13:00 (06:00),Darmstadt 98,2–2,Hamburger SV,14875,Jonathan-Heimes-Stadion am Böllenfalltor,Aarne Aarnink,Match Report,
18,Sat,2019-12-21,13:00 (06:00),St. Pauli,3–0,Arminia,29546,Millerntor-Stadion,Manuel Gräfe,Match Report,
18,Sat,2019-12-21,13:00 (06:00),Hannover 96,2–2,Stuttgart,35200,HDI-Arena,Thorben Siewer,Match Report,
18,Sun,2019-12-22,13:30 (06:30),Bochum,2–3,Jahn R'burg,18679,Vonovia Ruhrstadion,Tobias Reichel,Match Report,
18,Sun,2019-12-22,13:30 (06:30),Sandhausen,2–2,Holstein Kiel,4995,Hardtwaldstadion,Marco Fritz,Match Report,
18,Sun,2019-12-22,13:30 (06:30),Heidenheim,3–1,Osnabrück,12100,Voith-Arena,Michael Bacher,Match Report,
,,,,,,,,,,,
19,Tue,2020-01-28,18:30 (11:30),Arminia,,Bochum,,SchücoArena Kunstrasenplatz,,,
19,Tue,2020-01-28,20:30 (13:30),Wehen,,Erzgebirge Aue,,BRITA-Arena,,,
19,Tue,2020-01-28,20:30 (13:30),Jahn R'burg,,Hannover 96,,Continental Arena,,,
19,Tue,2020-01-28,20:30 (13:30),Greuther Fürth,,St. Pauli,,Sportpark Ronhof Thomas Sommer,,,
19,Wed,2020-01-29,18:30 (11:30),Stuttgart,,Heidenheim,,Mercedes-Benz Arena,,,
19,Wed,2020-01-29,20:30 (13:30),Osnabrück,,Sandhausen,,Stadion an der Bremer Brücke,,,
19,Wed,2020-01-29,20:30 (13:30),Holstein Kiel,,Darmstadt 98,,Holstein-Stadion,,,
19,Wed,2020-01-29,20:30 (13:30),Dynamo Dres,,Karlsruher,,DDV-Stadion,,,
19,Thu,2020-01-30,20:30 (13:30),Hamburger SV,,Nürnberg,,Volksparkstadion,,,
,,,,,,,,,,,
20,Fri,2020-01-31,18:30 (11:30),Erzgebirge Aue,,Arminia,,Sparkassen-Erzgebirgsstadion,,,
20,Fri,2020-01-31,18:30 (11:30),Jahn R'burg,,Greuther Fürth,,Continental Arena,,,
20,Sat,2020-02-01,13:00 (06:00),St. Pauli,,Stuttgart,,Millerntor-Stadion,,,
